ticker,method,n_trades_total,win_rate_total,cumulative_return_total,max_drawdown_total,n_trades_is,win_rate_is,cumulative_return_is,max_drawdown_is,n_trades_oos,win_rate_oos,cumulative_return_oos,max_drawdown_oos,n_confirmed,n_not_confirmed,cumulative_confirmed,cumulative_not_confirmed
PAMP_MEP,HMA16,75,0.4266666666666667,-0.48196440227257276,-0.5998484759350826,51,0.47058823529411764,-0.29437986314492137,-0.46587710915247305,24,0.3333333333333333,-0.26584351739692147,-0.4777139399269264,41,34,-0.32377913680633996,-0.23392544370659363
PAMP_MEP,EMA_12_26,37,0.35135135135135137,-0.2771250375605936,-0.5156353231848666,27,0.37037037037037035,-0.16280332376736273,-0.5156353231848666,10,0.3,-0.13655299529816056,-0.3637640219478567,25,12,0.13268407705529195,-0.36180354515205304
PAMP_MEP,SMA_10_50_100,25,0.44,-0.2527014726812691,-0.45236514373504294,20,0.45,-0.3776662915748199,-0.45236514373504294,5,0.4,0.2008003378280363,-0.20489759232143928,14,11,-0.2158712623016913,-0.046969596456428175
PAMP_MEP,B&H,1,1.0,5.61,0.0,1,1.0,3.3900000000000006,0.0,1,1.0,0.48773755656108597,0.0,0,0,,
SUPV_BA,HMA16,88,0.3522727272727273,1.0653900345292842,-0.5561275930763684,62,0.3548387096774194,0.7307901976240734,-0.4369961292989014,26,0.34615384615384615,0.19332200827375323,-0.5478214578390884,54,33,5.403660289310844,-0.6501927252200351
SUPV_BA,EMA_12_26,45,0.4,4.331224940394351,-0.5431802521143613,33,0.45454545454545453,3.603953647223462,-0.3844194736767832,12,0.25,0.1579666844842127,-0.5431802521143613,33,12,2.625020018005652,0.47067462080592626
SUPV_BA,SMA_10_50_100,27,0.7037037037037037,14.557476180776389,-0.19717375093214015,21,0.7142857142857143,8.147685440730728,-0.09277990708478526,6,0.6666666666666666,0.7007008255340312,-0.1971737509321402,17,10,2.976611685334591,2.912244245056928
SUPV_BA,B&H,1,1.0,33.01577710386657,0.0,1,1.0,27.57225928733889,0.0,1,1.0,0.18045092838196286,0.0,0,0,,
SUPV_MEP,HMA16,69,0.2753623188405797,-0.18742667973842497,-0.6813276551732309,47,0.2553191489361702,0.0712304549944347,-0.48833840881630497,22,0.3181818181818182,-0.24145797342384512,-0.6813276551732309,43,26,-0.023935234524377846,-0.1675006116365444
SUPV_MEP,EMA_12_26,34,0.4411764705882353,-0.014570721645549511,-0.579949682099436,24,0.5,-0.2122718882352207,-0.579949682099436,10,0.3,0.25097640116810505,-0.37793237383724493,20,14,-0.06565486452147329,0.0546737398592656
SUPV_MEP,SMA_10_50_100,20,0.35,-0.5163310149221249,-0.6229580933647308,14,0.35714285714285715,-0.4235609355744817,-0.6229580933647308,6,0.3333333333333333,-0.16093648934098204,-0.4660543857997857,11,9,-0.5991067051900304,0.20647811110720293
SUPV_MEP,B&H,1,1.0,1.8974074074074074,0.0,1,1.0,1.7122222222222219,0.0,1,1.0,0.058027210884353815,0.0,0,0,,
TECO2_BA,HMA16,90,0.37777777777777777,1.1131841243081273,-0.4964213276072769,60,0.45,1.933940261550986,-0.2952330323021295,30,0.23333333333333334,-0.2797453472379079,-0.496421327607277,53,37,-0.1899611628807235,1.6087442076520624
